Código,Nome,Regional,Prioridade,Morada,Latitude,Longitude,Estado_GPS
590,TorresVedrasSilveira,11 - LOU,Normal,R. Inácio Nunes da Costa,39.114056,-9.367639,OK
594,Almancil,93 - PAL,Normal,Vale das Éguas,37.092564,-8.040711,OK
596,Lourel,11 - LOU,Normal,Estrada de Mafra,38.817400,-9.361700,OK
599,Vale Cambra,96 - SAN,Normal,Rua do Hospital,40.848387,-8.391129,OK
603,Castro Verde,93 - PAL,Normal,Rua Nova da Feira,37.694389,-8.088611,OK
605,Seixal-Paivas,93 - PAL,Normal,Azinhaga Roque,38.625512,-9.117522,OK (Manual)
608,Leiria - Rua Paulo VI,94 - TON,Normal,Rua Paulo VI,39.7627778,-8.7833333,OK
609,Mertola,93 - PAL,Normal,Rua da Achada de São Sebastião,37.643512,-7.659022,OK (Manual)
610,Mafra - Mafra,11 - LOU,Normal,R. Almirante Gago Coutinho,38.932222,-9.328889,OK
611,Maia Bras Oleiro,96 - SAN,Normal,R.Quinta Palmeira,41.1974977,-8.5769482,OK
612,Faro,93 - PAL,Normal,Rua Eng. Nuno Abecassis,37.028944,-7.942056,OK
613,Matosinhos Custoias,96 - SAN,URGENTE,Rua Cândido dos Reis,41.196512,-8.653022,OK (Manual)
618,Sintra - Cacém,11 - LOU,Normal,Rua da Bela vista 31,38.7627609,-9.3070083,OK
619,Matosinhos - Parafita,96 - SAN,Normal,Rua Silva Aroso,41.2285,-8.69767,OK
620,Alcains,94 - TON,Normal,Estrada de São Domingos,39.918305,-7.470622,OK
622,Loule Caliços,93 - PAL,Normal,Av. Algarve - Caliços,37.102168,-8.00149,OK
624,Trofa,96 - SAN,Normal,Rua das Indústrias,41.332102,-8.563493,OK
636,AveiroVerdemilho,96 - SAN,Normal,Avenida da Europa,40.613353,-8.655592,OK
637,Agueda,96 - SAN,URGENTE,Avenida 25 de Abril,40.570015,-8.448512,OK (Manual)
639,Sines Cidade Desportiva,93 - PAL,URGENTE,Loteamento Municipal da Cidade Desportiva,37.962012,-8.865522,OK (Manual)
642,V.F.X - Alverca Norte,11 - LOU,URGENTE,E.N. 10,38.903015,-9.030522,OK (Manual)
645,Parque das Nações,11 - LOU,Normal,Avenida Fernando Pessoa,38.763515,-9.098522,OK (Manual)
557,Évora - Horta das Figueiras,93 - PAL,URGENTE,Rua Horta das Figueiras,38.56206,-7.913297,OK (Manual)
595,Santarem - Av Dr Francisco Sá Carneiro,94 - TON,URGENTE,Av Dr Francisco Sá Carneiro,39.249152,-8.6943678,OK (Manual)
Sede,Sede - Linhó,Sede,URGENTE,Linhó,38.758863,-9.377809,OK (Manual)
Entreposto,Entreposto TON,94 - TON,URGENTE,Logística,38.818648,-9.190407,OK (Manual)
Entreposto,Entreposto LOU,11 - LOU,URGENTE,Logística,38.817442,-9.187325,OK (Manual)

